name,category,nbs_types,dataset_id,access_method,wfs_url,layer_name,notes,error
WWNP Runoff Attenuation Features 1% AEP,opportunity,pond_pool_scrape,fc69965f-684f-463d-b7c9-2471a5d49741,wfs_direct,https://environment.data.gov.uk/spatialdata/wwnp-runoff-attenuation-features-1-percent-aep/wfs,dataset-fc69965f-684f-463d-b7c9-2471a5d49741:WWNP_Runoff_Attenuation_Features_1_percent_AEP,,
OS Waterlines (Local),opportunity,"leaky_barriers, bunds",0608e0cf-803f-4e0e-b8ab-6f783aa05f33,manual_download,,,"Confirmed not WFS-accessible after two slug-discovery passes (slugs tried: os-open-rivers, os-waterlines-local, local-waterlines, ea-waterlines-local, inland-waterways-local, watercourses-local, plus others). Title 'OS Waterlines (Local)' may be misleading — hosted on environment.data.gov.uk suggesting an EA-derived layer rather than a direct OS Open Rivers product. Dataset page is JavaScript-rendered; manual browser inspection needed to confirm available download formats. Manual download required for now.",
Risk of Flooding from Surface Water 0.1%,opportunity,"leaky_barriers, bunds",b5aaa28d-6eb9-460e-8d6f-43caa71fbe0e,manual_download,,,"Confirmed not WFS-accessible after two slug-discovery passes (slugs tried: risk-of-flooding-from-surface-water-extent-1-in-1000, risk-of-flooding-from-surface-water-0-1-percent-aep, risk-of-flooding-from-surface-water-extent, risk-of-flooding-from-surface-water-very-long-term, and others). Likely a raster product available only as a bulk download. Manual download required.",
WWNP Floodplain Woodland Potential,opportunity,floodplain_reconnection,d1b028b8-6090-4621-8645-034f01b32403,wfs_direct,https://environment.data.gov.uk/spatialdata/wwnp-floodplain-woodland-potential/wfs,dataset-d1b028b8-6090-4621-8645-034f01b32403:WWNP_Floodplain_Woodland_Potential,,
WWNP Floodplain Reconnection Potential,opportunity,floodplain_reconnection,e92e50e6-d2c5-4ae7-b824-138e0da0b554,wfs_direct,https://environment.data.gov.uk/spatialdata/wwnp-floodplain-reconnection-potential/wfs,dataset-e92e50e6-d2c5-4ae7-b824-138e0da0b554:WWNP_Floodplain_Reconnection_Potential,,
WWNP Riparian Woodland Potential,opportunity,riparian_buffers,960926b5-84e7-45f0-a38f-8ef58004820e,wfs_direct,https://environment.data.gov.uk/spatialdata/wwnp-riparian-woodland-potential/wfs,dataset-960926b5-84e7-45f0-a38f-8ef58004820e:WWNP_Riparian_Woodland_Potential,,
England Woodland Creation Sensitivity,opportunity,woodland_planting,607b4b94-1e07-43ee-b79d-524010a848b1,manual_download,,,"[also_supplementary] Confirmed not WFS-accessible after two slug-discovery passes (slugs tried: england-woodland-creation-sensitivity, woodland-creation-sensitivity, england-woodland-creation-sensitivity-map, ewcs, ewcs-england, and others). Likely a raster product; manual download required. also_supplementary=True replaces the former separate 'Woodland Creation Sensitivity (supplementary)' registry entry.",
WWNP Wider Catchment Woodland Potential,opportunity,woodland_planting,7b6c23f0-200e-453d-b3f9-1ace36974bce,wfs_direct,https://environment.data.gov.uk/spatialdata/wwnp-wider-catchment-woodland-potential/wfs,dataset-7b6c23f0-200e-453d-b3f9-1ace36974bce:WWNP_Wider_Catchment_Woodland_Potential,,
CEH Land Cover Map 2023,constraint,all,,requires_login,,,"[derived_filters: urban_constraint, peat_constraint, woodland_constraint, arable_grassland_supplementary] Free EIDC account required for download. One download covers all four derived uses. LCM class codes listed in derived_filters are indicative from the 2021 edition; verify against the 2023 legend before use.",
OS Zoomstack Roads,constraint,all,,manual_download,,,OS Open Zoomstack (OGL). GeoPackage download from OS Data Hub. Roads and Railways share the same source download.,
OS Zoomstack Railways,constraint,all,,manual_download,,,Same source download as Roads.,
Source Protection Zones (No Infiltration Area),constraint,all,,wfs_direct,https://environment.data.gov.uk/spatialdata/source-protection-zones-merged/wfs,dataset-6fd0120f-d465-11e4-abee-f0def148f590:Source_Protection_Zones_Merged,,
WWNP Woodland Constraints,constraint,"leaky_barriers, woodland_planting",,wfs_direct,https://environment.data.gov.uk/spatialdata/wwnp-woodland-constraints/wfs,dataset-3a6edfe8-3d34-474e-ae35-397fd1f03541:WWNP_Woodland_Constraints,,
Agricultural Land Classification (ALC),supplementary,all,,manual_download,,,"Confirmed not WFS-accessible after two slug-discovery passes (slugs tried: provisional-agricultural-land-classification-alc, agricultural-land-classification-alc, alc-post-1988-survey, agricultural-land-classification-post-1988, alc-england, and others). data.gov.uk landing page is reachable; downloadable shapefile likely available. Manual download required.",
Priority Habitat Area (Habitat Networks),supplementary,all,626d5050-7f3e-48ed-a68f-8b8e90d02a3e,wfs_direct,https://environment.data.gov.uk/spatialdata/habitat-networks-combined-habitats-england/wfs,dataset-5e614b67-ccd0-4673-8ad8-adddf538125e:Habitat_Networks_Combined_Habitats_England,,
Soil Parent Material Model,supplementary,all,,manual_download,,,BGS open data. Manual download from BGS. Phase 1.5 TODO: test BGS WFS at ogc.bgs.ac.uk for programmatic access.,
EA NbS Infiltration Class,supplementary,all,,manual_download,,,"ArcGIS web app — underlying REST service not publicly documented. Severn Trent do NOT hold this dataset internally; it must be requested directly from the Environment Agency. BGS Groundwater Vulnerability Map is the licensed substitute, pending confirmation of commercial-use terms with BGS. Phase 1.5 TODO: raise formal data request with EA; confirm BGS licence scope.",
