name,category,nbs_types,experimental,coverage,access_method,probe_result,layer_name,notes,error
WWNP Runoff Attenuation Features 1% AEP,opportunity,pond_pool_scrape,False,england,wfs_direct,ok,dataset-fc69965f-684f-463d-b7c9-2471a5d49741:WWNP_Runoff_Attenuation_Features_1_percent_AEP,,
OS Waterlines (Local),opportunity,"leaky_barriers, bunds",False,england,manual_download,page_ok,,"Two paths: (a) OS PSGA share from Severn Trent (preserves Avon-model fidelity, awaiting Matt Palmer answer); (b) OS Open GeoPackage as fallback (free, less drainage detail). Not WFS-accessible — confirmed after two slug-discovery passes (7+ slugs tried). Title 'OS Waterlines (Local)' may be misleading — hosted on environment.data.gov.uk suggesting EA-derived layer. Browser inspection of dataset page needed to confirm download formats.",
Risk of Flooding from Surface Water 0.1%,opportunity,"leaky_barriers, bunds",False,england,arcgis_featureserver,ok,Risk of Flooding from Surface Water Extent: 0.1 percent annual chance,Layers 0 (3.3% AEP) and 1 (1% AEP) are also available on the same service. The 0.1% extent (layer 2) is used for identifying areas where bunds and leaky barriers would intercept surface water runoff events.,
WWNP Floodplain Woodland Potential,opportunity,floodplain_reconnection,False,england,wfs_direct,ok,dataset-d1b028b8-6090-4621-8645-034f01b32403:WWNP_Floodplain_Woodland_Potential,,
WWNP Floodplain Reconnection Potential,opportunity,floodplain_reconnection,False,england,wfs_direct,ok,dataset-e92e50e6-d2c5-4ae7-b824-138e0da0b554:WWNP_Floodplain_Reconnection_Potential,,
WWNP Riparian Woodland Potential,opportunity,riparian_buffers,False,england,wfs_direct,ok,dataset-960926b5-84e7-45f0-a38f-8ef58004820e:WWNP_Riparian_Woodland_Potential,,
England Woodland Creation Sensitivity,opportunity,woodland_planting,False,england,arcgis_featureserver,ok,England_Woodland_Creation_Full_Sensitivity_Map_v4,[also_used_as_supplementary] Key attribute: 'sensitivity'. TODO: monitor for v5 release. Not available via DEFRA DSP WFS — confirmed after two slug-discovery passes.,
WWNP Wider Catchment Woodland Potential,opportunity,woodland_planting,False,england,wfs_direct,ok,dataset-7b6c23f0-200e-453d-b3f9-1ace36974bce:WWNP_Wider_Catchment_Woodland_Potential,,
CEH Land Cover Map 2023 Polygon,multi,all,False,gb,requires_login,page_ok,,"[derived_uses: constraint, supplementary] Free EIDC account required. TODO: confirm exact EIDC catalogue URL for 2023 polygon edition. LCM class codes in derived_uses are from the 2021 edition; verify against the 2023 legend before use. Constraint filter excludes coniferous woodland (class 2) by design — see docs/methodology/02_architecture_vector_only.md.",
OS Zoomstack Roads,constraint,all,False,gb,manual_download,page_ok,,OS Open Zoomstack (OGL). GeoPackage download from OS Data Hub. Roads and Railways share the same source download. Phase 1.5 TODO: OS Data Hub Features API.,
OS Zoomstack Railways,constraint,all,False,gb,manual_download,page_ok,,Same source download as Roads. Phase 1.5 TODO: OS Data Hub Features API.,
Source Protection Zones (No Infiltration Area),constraint,all,False,england,wfs_direct,ok,dataset-6fd0120f-d465-11e4-abee-f0def148f590:Source_Protection_Zones_Merged,,
WWNP Woodland Constraints,constraint,"leaky_barriers, woodland_planting",False,england,wfs_direct,ok,dataset-3a6edfe8-3d34-474e-ae35-397fd1f03541:WWNP_Woodland_Constraints,,
Agricultural Land Classification (ALC),supplementary,all,False,england,wfs_direct,ok,dataset-492f5119-3c59-4798-a3a0-3bc4ca589aec:Agricultural_Land_Classification_Grades_Post_1988_Survey_England,WFS URL confirmed via manual discovery — not discoverable via slug guessing or dataset-page scraping. Dataset GUID on data.gov.uk (c002ceea-...) differs from the WFS layer GUID (492f5119-...) — the two refer to the same dataset.,
Priority Habitat Area (Habitat Networks),supplementary,all,False,england,wfs_direct,ok,dataset-5e614b67-ccd0-4673-8ad8-adddf538125e:Habitat_Networks_Combined_Habitats_England,,
Soil Parent Material Model,supplementary,all,False,gb,manual_download,page_ok,,BGS open data. Phase 1.5 TODO: test BGS WFS at ogc.bgs.ac.uk for programmatic access.,
EA NbS Infiltration Class,supplementary,all,False,england,manual_download,page_ok,,"ArcGIS web app only; underlying REST service not publicly documented. Severn Trent do NOT hold this dataset — must be requested directly from the EA. BGS Groundwater Vulnerability Map is the licensed substitute, pending confirmation of commercial-use terms. Phase 1.5 TODO: raise formal EA data request.",
Recharge Prioritisation (HML),supplementary,all,False,england,arcgis_featureserver,ok,Recharge_Potential_Detailed_HML,"Primary attribute: PRIORITISATION (HIGH | MEDIUM | LOW). Additional attributes: EA_WB_ID, WATERBODY_NAME. Distinct from the EA Recharge Potential layer (1–5 CUMULATIVE field at soil-polygon scale) used in the original R model — that remains pending direct EA request. Use this as a waterbody-scale scoring signal.",
England Peat Map — Peaty Soil Extent,opportunity,peat_restoration,True,england,arcgis_featureserver,ok,peaty_soil_extent_v1,Natural England / AI4Peat hub. OGL v3. Use as gating mask — restrict all peat restoration steps to features within this extent.,
England Peat Map — Peaty Soil Depth,opportunity,peat_restoration,True,england,arcgis_static_download,ok,geotiff ~475 MB,"OGL v3. England-wide 10 m raster. Pre-processing: scripts/preprocess_peat_depth.py -- download once, clip to STW AOI, compute polygon-level zonal stats (mean depth) against Peaty Soil Extent vector, write enriched vector with peat_depth_cm_mean attribute. Pipeline modules consume the enriched vector only -- no raster in src/.",
England Peat Map — Peaty Soil Depth Confidence,opportunity,peat_restoration,True,england,arcgis_static_download,ok,geotiff,Sibling raster to Peaty Soil Depth on same ArcGIS Online org. Same pre-processing pattern as Depth: extend scripts/preprocess_peat_depth.py to also compute mean confidence (peat_depth_confidence_rmse_mean) per polygon.,
England Peat Map — Bare Peaty Soil,opportunity,peat_restoration,True,england,arcgis_featureserver,ok,"8 BGZ layers: 13, 11, 6, 5, 4","[bgz_tiled layers: [1, 2, 3, 4, 5, 6, 11, 13]] Service is tiled by Biogeographical Zone (BGZ). Query all BGZ layers and concatenate results for national coverage. BGZ layer IDs confirmed: 1,2,3,4,5,6,11,13.",
England Peat Map — Upland Grips,opportunity,peat_restoration,True,england,arcgis_featureserver,ok,Upland Peat Erosion and Drainage Grips,Grips are drainage ditches cut into peat -- their presence indicates artificial drainage requiring restoration.,
England Peat Map — Upland Gullies,opportunity,peat_restoration,True,england,arcgis_featureserver,ok,Upland Peat Erosion and Drainage Gullies,,
England Peat Map — Upland Haggs,opportunity,peat_restoration,True,england,arcgis_featureserver,ok,Upland Peat Erosion and Drainage Haggs,,
England Peat Map — Vegetation and Land Cover on Peaty Soils,opportunity,peat_restoration,True,england,arcgis_featureserver,ok,"14 BGZ layers: 14, 13, 12, 11, 10","[bgz_tiled layers: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]] [derived_uses: step2_dry_degraded_inclusion, step3_wet_bog_exclusion] Service is tiled by Biogeographical Zone (BGZ) -- query all 14 layers and concatenate for national coverage. Same single layer drives two pipeline roles via derived_uses. TODO: define DRY_PEAT_VEG_CLASSES (heather-dominated, agricultural use) and WET_BOG_VEG_CLASSES (sphagnum-dominated, intact blanket bog) from Natural England's vegetation classification scheme.",
